DATE,AF,IN,QD
1999-10-23,5661.738,0.271,0.0
1999-10-24,5662.545,0.407,0.0
1999-10-25,5663.083,0.271,0.0
1999-10-26,5663.891,0.407,0.0
1999-10-27,5664.429,0.271,0.0
1999-10-28,5665.236,0.407,0.0
1999-10-29,5665.774,0.271,0.0
1999-10-30,5666.581,0.407,0.0
1999-10-31,5667.119,0.271,0.0
1999-11-01,5667.119,0.0,0.0
1999-11-02,5667.926,0.407,0.0
1999-11-03,5668.464,0.271,0.0
1999-11-04,5669.271,0.407,0.0
1999-11-05,5669.81,0.271,0.0
1999-11-06,5670.617,0.407,0.0
1999-11-07,5671.155,0.271,0.0
1999-11-08,5671.962,0.407,0.0
1999-11-09,5672.5,0.271,0.0
1999-11-10,5611.965,0.08,30.6
1999-11-11,5551.431,0.08,30.6
1999-11-12,5490.896,0.08,30.6
1999-11-13,5430.361,0.08,30.6
1999-11-14,5377.471,0.034,26.7
1999-11-15,5333.771,0.068,22.1
1999-11-16,5290.266,0.066,22.0
1999-11-17,5246.566,0.068,22.1
1999-11-18,5203.061,0.066,22.0
1999-11-19,5159.361,0.068,22.1
1999-11-20,5159.361,0.0,0.0
1999-11-21,5159.361,0.0,0.0
1999-11-22,5159.361,0.0,0.0
1999-11-23,5159.361,0.0,0.0
1999-11-24,5159.361,0.0,0.0
1999-11-25,5159.361,0.0,0.0
1999-11-26,5159.361,0.0,0.0
1999-11-27,5159.361,0.0,0.0
1999-11-28,5159.361,0.0,0.0
1999-11-29,5159.361,0.0,0.0
1999-11-30,5159.361,0.0,0.0
1999-12-01,5159.361,0.0,0.0
1999-12-02,5159.361,0.0,0.0
1999-12-03,5159.361,0.0,0.0
1999-12-04,5159.361,0.0,0.0
1999-12-05,5159.361,0.0,0.0
1999-12-06,5159.361,0.0,0.0
1999-12-07,5159.361,0.0,0.0
1999-12-08,5159.361,0.0,0.0
1999-12-09,5159.361,0.0,0.0
1999-12-10,5159.361,0.0,0.0
1999-12-11,5159.361,0.0,0.0
1999-12-12,5159.361,0.0,0.0
1999-12-13,5159.361,0.0,0.0
1999-12-14,5159.361,0.0,0.0
1999-12-15,5159.361,0.0,0.0
1999-12-16,5159.361,0.0,0.0
