DATE,AF,CHSTOR,IN,QD
1991-02-27,93125.438,0.0,11.272,11.272
1991-02-28,93125.438,0.0,11.272,11.272
1991-03-01,93151.195,25.758,24.259,11.272
1991-03-02,93151.195,0.0,11.272,11.272
1991-03-03,93151.195,0.0,11.289,11.289
1991-03-04,93204.008,52.812,38.166,11.54
1991-03-05,93231.055,27.047,25.509,11.873
1991-03-06,93256.82,25.766,24.111,11.12
1991-03-07,93336.68,79.859,55.317,15.055
1991-03-08,93336.68,0.0,18.59,18.59
1991-03-09,93336.68,0.0,16.068,16.068
1991-03-10,93389.492,52.812,37.899,11.272
1991-03-11,93415.258,25.766,24.263,11.272
1991-03-12,93415.258,0.0,11.013,11.013
1991-03-13,93442.305,27.047,26.785,13.149
1991-03-14,93442.305,0.0,15.072,15.072
1991-03-15,93468.062,25.758,28.506,15.52
1991-03-16,93468.062,0.0,20.656,20.656
1991-03-17,93468.062,0.0,21.333,21.333
1991-03-18,93468.062,0.0,21.333,21.333
1991-03-19,93468.062,0.0,21.333,21.333
1991-03-20,93468.062,0.0,21.333,21.333
1991-03-21,93468.062,0.0,21.34,21.34
1991-03-22,93468.062,0.0,21.354,21.354
1991-03-23,93468.062,0.0,21.333,21.333
1991-03-24,93468.062,0.0,21.347,21.347
1991-03-25,93468.062,0.0,21.34,21.34
1991-03-26,93468.062,0.0,21.45,21.45
1991-03-27,93468.062,0.0,21.067,21.067
1991-03-28,93415.258,-52.805,-5.937,20.685
1991-03-29,93415.258,0.0,21.323,21.323
1991-03-30,93389.492,-25.766,8.343,21.333
1991-03-31,93389.492,0.0,20.709,20.709
1991-04-01,93362.445,-27.047,7.049,20.685
1991-04-02,93362.445,0.0,21.094,21.094
1991-04-03,93362.445,0.0,21.168,21.168
1991-04-04,93362.445,0.0,21.114,21.114
1991-04-05,93362.445,0.0,21.154,21.154
1991-04-06,93362.445,0.0,20.685,20.685
1991-04-07,93362.445,0.0,20.57,20.57
1991-04-08,93362.445,0.0,20.252,20.252
1991-04-09,93336.68,-25.766,7.689,20.679
1991-04-10,93336.68,0.0,20.685,20.685
1991-04-11,93336.68,0.0,20.965,20.965
1991-04-12,93389.492,52.812,47.497,20.871
1991-04-13,93389.492,0.0,20.685,20.685
1991-04-14,93389.492,0.0,20.56,20.56
1991-04-15,93336.68,-52.812,27.519,54.145
1991-04-16,93112.555,-224.125,85.034,198.031
1991-04-17,92888.43,-224.125,84.85,197.846
1991-04-18,92651.422,-237.008,84.691,204.183
1991-04-19,92414.414,-237.008,84.6,204.091
1991-04-20,92177.406,-237.008,89.669,209.16
1991-04-21,91939.109,-238.297,89.098,209.239
1991-04-22,91702.102,-237.008,87.989,207.48
1991-04-23,91465.688,-236.414,87.005,206.197
1991-04-24,90838.438,-627.25,88.0,206.197
1991-04-25,90603.852,-234.586,92.048,210.318
1991-04-26,90551.586,-52.266,163.52,189.871
1991-04-27,90317.0,-234.586,45.294,163.564
1991-04-28,90028.875,-288.125,19.344,164.607
1991-04-29,89794.289,-234.586,64.312,182.583
1991-04-30,89585.211,-209.078,103.312,208.723
1991-05-01,89350.625,-234.586,91.388,209.659
1991-05-02,89246.086,-104.539,156.776,209.481
1991-05-03,88985.25,-260.836,77.153,208.658
1991-05-04,88726.5,-258.75,78.907,209.36
1991-05-05,88365.508,-360.992,28.921,210.922
1991-05-06,88080.25,-285.258,66.358,210.176
1991-05-07,87821.492,-258.758,79.927,210.384
1991-05-08,87719.258,-102.234,144.26,195.803
1991-05-09,87744.5,25.242,152.824,140.098
1991-05-10,88262.008,517.508,368.934,108.024
1991-05-11,88778.25,516.242,369.402,109.13
1991-05-12,89114.766,336.516,278.76,109.1
1991-05-13,89480.664,365.898,291.474,107.0
1991-05-14,89819.789,339.125,277.976,107.0
1991-05-15,90499.312,679.523,432.429,89.836
1991-05-16,90969.75,470.438,289.337,52.157
1991-05-17,91832.195,862.445,491.895,57.079
1991-05-18,93072.625,1240.43,687.556,62.172
1991-05-19,94207.43,1134.805,629.214,57.083
