site_name,datetime,release,release_pre,storage,storage_pre,inflow,release_roll7,inflow_roll7,storage_roll7,storage_x_inflow
Hoover,2015-05-30,6.3525,6.9070833333333335,9726.0,9727.0,5.3525,6.0363154761904765,3.5729226190476027,9740.857142857143,52063.7675
Hoover,2015-05-31,5.192916666666666,6.3525,9729.0,9726.0,8.192916666666665,6.14435119047619,3.4927261904761737,9738.285714285716,79684.30749999998
Hoover,2015-06-01,7.41125,5.192916666666666,9718.0,9729.0,-3.58875,6.207011904761904,1.7690476190476023,9735.57142857143,-34914.94875
Hoover,2015-06-02,7.007916666666667,7.41125,9712.0,9718.0,1.0079166666666666,6.626190476190476,1.8830952380952215,9730.714285714286,9794.934166666666
Hoover,2015-06-03,6.554166666666666,7.007916666666667,9714.0,9712.0,8.554166666666667,6.597380952380952,3.0403571428571263,9726.0,83078.06666666667
Hoover,2015-06-04,9.22625,6.554166666666666,9700.0,9714.0,-4.77375,6.6117857142857135,2.521726190476174,9722.42857142857,-46372.2075
Hoover,2015-06-05,9.881666666666666,9.22625,9685.0,9700.0,-5.118333333333334,6.950297619047619,1.3752380952380787,9718.0,-49647.83333333334
Hoover,2015-06-06,6.9070833333333335,9.881666666666666,9684.0,9685.0,5.9070833333333335,7.375238095238095,1.4544642857142693,9712.0,57210.10208333333
Hoover,2015-06-07,7.965833333333333,6.9070833333333335,9679.0,9684.0,2.9658333333333333,7.454464285714286,0.707738095238079,9706.0,28721.13
Hoover,2015-06-08,8.62125,7.965833333333333,9670.0,9679.0,-0.37875000000000014,7.850595238095237,1.1663095238095076,9698.857142857143,-3665.9212500000012
Hoover,2015-06-09,7.310416666666667,8.62125,9664.0,9670.0,1.3104166666666668,8.02345238095238,1.2095238095237932,9692.0,12671.729166666668
Hoover,2015-06-10,6.9575,7.310416666666667,9662.0,9664.0,4.9575,8.066666666666666,0.6957142857142694,9685.142857142857,47909.28
Hoover,2015-06-11,8.520416666666666,6.9575,9655.0,9662.0,1.5204166666666659,8.124285714285714,1.594880952380936,9677.714285714286,14690.265833333326
Hoover,2015-06-12,9.629583333333333,8.520416666666666,9642.0,9655.0,-3.3704166666666673,8.02345238095238,1.8445833333333168,9671.285714285716,-32541.372916666674
Hoover,2015-06-13,8.268333333333333,9.629583333333333,9638.0,9642.0,4.268333333333333,7.987440476190476,1.6104761904761737,9665.142857142857,41155.27
Hoover,2015-06-14,5.999583333333333,8.268333333333333,9640.0,9638.0,7.999583333333333,8.181904761904763,2.329583333333317,9658.57142857143,77099.98416666666
Hoover,2015-06-15,6.9575,5.999583333333333,9634.0,9640.0,0.9574999999999996,7.901011904761904,2.520476190476174,9653.0,9230.299999999996
Hoover,2015-06-16,7.612916666666666,6.9575,9625.0,9634.0,-1.387083333333334,7.663333333333333,2.135119047619031,9647.857142857143,-13363.160833333339
Hoover,2015-06-17,9.83125,7.612916666666666,9612.0,9625.0,-3.1687499999999993,7.706547619047619,0.9742261904761736,9642.285714285716,-30499.218749999993
Hoover,2015-06-18,7.965833333333333,9.83125,9607.0,9612.0,2.9658333333333333,8.117083333333333,1.180714285714269,9635.142857142857,28507.59
Hoover,2015-06-19,6.8566666666666665,7.965833333333333,9607.0,9607.0,6.8566666666666665,8.037857142857142,2.641726190476174,9628.285714285716,65871.99666666666
Hoover,2015-06-20,6.05,6.8566666666666665,9608.0,9607.0,7.05,7.64172619047619,3.0391071428571266,9623.285714285716,67729.34999999999
Hoover,2015-06-21,5.949166666666667,6.05,9612.0,9608.0,9.949166666666667,7.324821428571429,3.3176190476190315,9619.0,95591.59333333334
Hoover,2015-06-22,7.058333333333334,5.949166666666667,9607.0,9612.0,2.0583333333333336,7.317619047619047,3.474880952380936,9615.0,19784.7
