DateTime,thf_id,thf_qd,thf_af
1995-12-23,183.38,209.0,13555.07
1995-12-24,155.44,170.0,13527.94
1995-12-25,154.22,162.0,13513.78
1995-12-26,138.27,148.0,13493.73
1995-12-27,138.54,138.0,13493.73
1995-12-28,187.35,150.0,13555.07
1995-12-29,191.0,160.0,13542.09
1995-12-30,187.0,181.0,13555.07
1995-12-31,233.88,214.0,13596.36
1996-01-01,286.55,269.0,13637.65
1996-01-02,306.4,300.0,13657.71
1996-01-03,333.54,318.0,13699.0
1996-01-04,323.98,344.0,13671.86
1996-01-05,255.58,283.0,13623.49
1996-01-06,232.23,249.0,13596.36
1996-01-07,221.56,227.0,13589.28
1996-01-08,220.95,219.0,13596.36
1996-01-09,242.68,236.0,13616.42
1996-01-10,257.14,253.0,13630.57
1996-01-11,244.8,251.0,13623.49
1996-01-12,226.97,236.0,13610.52
1996-01-13,215.03,225.0,13596.36
1996-01-14,225.37,228.0,13596.36
1996-01-15,235.46,220.0,13630.57
1996-01-16,296.76,286.0,13664.78
1996-01-17,260.08,282.0,13623.49
1996-01-18,187.48,221.0,13555.07
1996-01-19,176.42,172.0,13562.15
1996-01-20,205.18,197.0,13582.2
1996-01-21,206.25,206.0,13582.2
1996-01-22,170.47,183.0,13555.07
1996-01-23,170.7,171.0,13555.07
1996-01-24,172.14,173.0,13555.07
1996-01-25,172.84,173.0,13555.07
1996-01-26,158.99,166.0,13542.09
1996-01-27,147.05,160.0,13513.78
1996-01-28,95.14,110.0,13472.49
1996-01-29,142.8,100.0,13506.7
1996-01-30,79.33,90.0,13438.28
1996-01-31,79.32,86.0,13418.22
1996-02-01,99.93,90.0,13431.2
1996-02-02,119.62,96.0,13445.36
1996-02-03,122.22,100.0,13452.44
1996-02-04,134.51,110.0,13486.65
1996-02-05,137.86,120.0,13506.7
1996-02-06,154.77,135.0,13547.99
1996-02-07,302.53,262.0,13657.71
1996-02-08,730.29,593.0,13980.95
1996-02-09,1333.24,1210.0,14284.91
1996-02-10,1081.24,1150.0,14164.98
1996-02-11,906.23,970.0,14051.17
1996-02-12,690.49,750.0,13945.55
1996-02-13,563.95,610.0,13871.23
1996-02-14,511.45,536.0,13842.92
1996-02-15,484.98,502.0,13829.94
1996-02-16,468.52,480.0,13829.94
1996-02-17,473.71,484.0,13835.84
1996-02-18,547.01,531.0,13898.37
1996-02-19,635.23,631.0,13939.66
1996-02-20,650.36,662.0,13939.66
1996-02-21,581.1,610.0,13905.44
1996-02-22,545.86,567.0,13884.21
1996-02-23,454.64,502.0,13808.71
1996-02-24,432.01,459.0,13774.5
1996-02-25,398.34,418.0,13754.44
1996-02-26,340.29,380.0,13686.02
1996-02-27,293.07,312.0,13657.71
1996-02-28,351.42,335.0,13706.07
1996-02-29,341.45,347.0,13706.07
1996-03-01,327.54,334.0,13706.07
