DateTime,isl_id,isl_qd,isl_af
2004-04-22,510.27,37.43,108377.18
2004-04-23,506.53,37.46,109022.85
2004-04-24,542.88,37.49,109746.57
2004-04-25,616.32,37.52,110617.95
2004-04-26,544.22,37.55,111352.27
2004-04-27,722.52,37.58,112450.16
2004-04-28,529.61,37.62,113159.47
2004-04-29,329.69,37.63,113444.48
2004-04-30,614.18,37.66,114303.67
2004-05-01,499.14,37.68,114950.56
2004-05-02,571.1,37.71,115750.1
2004-05-03,570.16,37.73,116551.74
2004-05-04,648.39,37.76,117506.57
2004-05-05,458.73,220.64,118099.09
2004-05-06,381.05,42.53,118545.47
2004-05-07,797.39,42.56,119817.64
2004-05-08,731.5,42.6,120951.19
2004-05-09,466.48,42.63,121561.07
2004-05-10,818.71,42.66,122865.61
2004-05-11,403.13,42.69,123330.0
2004-05-12,414.02,42.71,123796.16
2004-05-13,847.8,42.74,125124.68
2004-05-14,452.25,42.77,125674.59
2004-05-15,412.55,42.79,126149.73
2004-05-16,816.06,42.82,127419.27
2004-05-17,485.09,42.86,128038.29
2004-05-18,911.35,42.91,129518.66
2004-05-19,252.2,42.95,129675.75
2004-05-20,605.16,42.97,130540.87
2004-05-21,612.0,43.01,131411.61
2004-05-22,900.44,43.07,132852.48
2004-05-23,910.34,43.13,134309.02
2004-05-24,432.19,43.17,134551.38
2004-05-25,570.0,43.17,134551.38
2004-05-26,572.0,43.17,134551.38
2004-05-27,1222.66,43.18,135845.92
2004-05-28,353.55,43.21,135365.02
2004-05-29,956.49,43.22,136006.66
2004-05-30,686.54,43.24,136085.08
2004-05-31,716.59,43.24,136167.58
2004-06-01,708.41,43.24,136085.08
2004-06-02,666.42,43.24,135845.92
2004-06-03,491.19,43.22,135283.0
2004-06-04,648.2,43.2,135041.41
2004-06-05,809.72,43.19,134961.52
2004-06-06,516.07,43.16,134146.45
2004-06-07,156.98,43.12,132613.19
2004-06-08,575.49,43.08,131890.2
2004-06-09,887.66,43.05,131812.17
2004-06-10,993.34,43.04,131890.2
2004-06-11,638.52,43.04,131252.56
2004-06-12,567.19,43.01,130540.87
2004-06-13,695.18,42.98,130067.17
2004-06-14,613.96,42.96,129438.34
2004-06-15,585.15,42.93,128736.48
2004-06-16,557.96,42.88,127958.88
2004-06-17,520.58,42.86,127105.16
2004-06-18,632.42,42.82,126467.31
