DateTime,Inflow_cfs,Release_cfs,Storage_acft,Gain_cfs
2005-03-20,964.86,,434588.0,866.86
2005-03-21,752.75,,435673.0,650.75
2005-03-22,964.74,,437181.0,860.74
2005-03-23,745.8,,438258.0,639.8
2005-03-24,533.7,,438914.0,425.7
2005-03-25,527.85,,439559.0,416.85
2005-03-26,422.72,,439994.0,312.72
2005-03-27,2510.51,,444560.0,2390.51
2005-03-28,3071.98,,450255.0,2916.98
2005-03-29,1635.04,,453112.0,1462.04
2005-03-30,869.19,,454436.0,692.19
2005-03-31,648.83,,455319.0,475.83
2005-04-01,758.94,,456420.0,588.94
2005-04-02,762.8,,457532.0,594.8
2005-04-03,981.37,,459077.0,811.37
2005-04-04,1100.19,,460853.0,927.19
2005-04-05,651.2,,461742.0,480.2
2005-04-06,759.77,,462848.0,591.77
2005-04-07,1321.31,,465075.0,1149.31
2005-04-08,1550.26,,467753.0,1354.26
2005-04-09,1211.3,,469761.0,1003.3
2005-04-10,989.29,,471323.0,777.29
2005-04-11,885.15,,472669.0,671.15
2005-04-12,1453.66,,475145.0,1236.66
2005-04-13,769.43,,476265.0,550.43
2005-04-14,885.57,,477616.0,663.57
2005-04-15,770.16,,478738.0,552.16
2005-04-16,776.15,,479872.0,561.15
2005-04-17,1343.03,,482132.0,1105.03
2005-04-18,1455.38,,484618.0,1188.38
2005-04-19,888.89,,485979.0,613.89
2005-04-20,1000.69,,487563.0,724.69
2005-04-21,1232.28,,489605.0,951.28
2005-04-22,889.3,,490972.0,600.3
2005-04-23,1238.0,,493031.0,921.0
2005-04-24,886.52,,494390.0,526.52
2005-04-25,1128.2,,496220.0,694.2
2005-04-26,1250.83,,498288.0,688.83
2005-04-27,1586.7,,501032.0,860.7
2005-04-28,1479.51,,503568.0,559.51
2005-04-29,1356.9,,505860.0,378.9
2005-04-30,1601.39,,508631.0,635.39
2005-05-01,1483.55,,511169.0,529.55
2005-05-02,1491.23,,513723.0,513.23
2005-05-03,1607.9,,516509.0,597.9
2005-05-04,2074.85,,520220.0,974.85
2005-05-05,2320.61,,524420.0,1120.61
2005-05-06,2320.37,,528620.0,960.37
2005-05-07,3043.42,,534255.0,1443.42
2005-05-08,2817.06,,539440.0,1137.06
2005-05-09,3421.34,,545822.0,1671.34
2005-05-10,3318.87,,552002.0,1578.87
2005-05-11,2741.38,,557038.0,1161.38
2005-05-12,2512.56,,561624.0,1112.56
2005-05-13,2284.43,,565752.0,924.43
2005-05-14,2178.25,,569665.0,788.25
2005-05-15,2804.38,,574823.0,1344.38
2005-05-16,4320.99,,582990.0,2410.99
2005-05-17,3850.87,,590225.0,1380.87
2005-05-18,5153.77,,600041.0,2743.77
2005-05-19,6519.2,,611976.0,3699.2
2005-05-20,6222.52,,620955.0,3232.52
2005-05-21,5199.78,,626891.0,2529.78
2005-05-22,4942.25,,632336.0,2872.25
2005-05-23,3896.9,,635718.0,2036.9
2005-05-24,3121.06,,637553.0,1901.06
2005-05-25,2663.7,,639377.0,1643.7
2005-05-26,1810.61,,640949.0,1361.61
2005-05-27,2196.4,,643304.0,1638.4
2005-05-28,2208.6,,645407.0,1265.6
2005-05-29,2512.1,,646717.0,1132.1
2005-05-30,3326.06,,649096.0,1956.06
2005-05-31,2484.91,,649624.0,1364.91
2005-06-01,2893.44,,650938.0,1833.44
2005-06-02,2358.23,,650680.0,1436.23
2005-06-03,1799.88,,649096.0,1042.88
